연번,Element ID,"항목명
(영문)","항목명
(국문)","필수
여부",OID,항목검증룰,"관계
Element ID",최대길이,"데이터 
유형",허용치,nullFlavor,비고,항목검증룰(변경내역),Question,CRSCUBE ANSWER
208,G.k.4.r.11.2b,Parent Route of Administration TermID,부모의 투여경로 ID,비필수,"2.16.840.1.113883.3.989.2.1.1.28
0.4.0.127.0.16.1.1.2.6","1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 100자리 이하인지 검증
3. 입력값이 G.k.4.r.11.2a항목의 버전의 RoAID인지 검증",G.k.4.r.11.2a,15,AN,EDQM RoA TermID,,,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 100자리 이하인지 검증
3. 입력값이 G.k.4.r.11.2a항목의 버전의 RoAID인지 검증
4. G.k.4.r.11.2a에 입력된 경우 필수로 입력되어야 함","- G.k.4.r.11.2a은 다음 항목(G.k.4.r.9.2a/G.k.4.r.9.2b
G.k.4.r.10.2a/G.k.4.r.10.2b )의 항목검증룰 서술과 차이가 없어 보이는데, 조건부필수가 아닌 왜 비필수로 설정되어 있는지 궁금합니다. ",
209,G.k.5a,Cumulative Dose to First Reaction (number),첫 발현까지의 누적 투여량,조건부필수,2.16.840.1.113883.3.989.2.1.1.19,"1. 조건부필수값으로 G.k.5b에 항목값이 있는경우 항목 여부 검증
2. 입력값이 10자리 이하인지 검증
3. 입력값은 숫자만 허용함",G.k.5b,10,N,숫자,,,"1. 조건부필수값으로 G.k.5b에 항목값이 있는경우 항목 여부 검증
2. 입력값이 10자리 이하인지 검증
3. 입력값은 숫자만 허용함
4. 항목값이 있는 경우 G.k.5b 항목은 필수임",,
210,G.k.5b,Cumulative Dose to First Reaction (unit),첫 발현까지의 누적 투여량(단위),조건부필수,2.16.840.1.113883.3.989.2.1.1.25,"1. 조건부필수값으로 G.k.5a에 항목값이 있는경우 항목 여부 검증
2. 입력값이 50자리 이하인지 검증
3. 입력값이 허용된 UCUM코드인지 검증",G.k.5a,50,AN,제한된 UCUM코드,,,"1. 조건부필수값으로 G.k.5a에 항목값이 있는경우 항목 여부 검증
2. OID 비교 검증
3. 입력값이 50자리 이하인지 검증
4. 입력값이 허용된 UCUM코드인지 검증
5. 항목값이 있는 경우 G.k.5a 항목은 필수임",,
211,G.k.6a,Gestation Period at Time of Exposure (number),노출시 임신 기간,조건부필수,2.16.840.1.113883.3.989.2.1.1.19,"1. 조건부필수값으로 G.k.6b에 항목값이 있는경우 항목 여부 검증
2. 입력값이 3자리 이하인지 검증
3. 입력값은 숫자만 허용함",G.k.6b,3,N,숫자,,,"1. 조건부필수값으로 G.k.6b에 항목값이 있는경우 항목 여부 검증
2. 입력값이 3자리 이하인지 검증
3. 입력값은 숫자만 허용함
4. 항목값이 있는 경우 G.k.5b 항목은 필수임",,
212,G.k.6b,Gestation Period at Time of Exposure (unit),노출시 임신 기간(단위),조건부필수,2.16.840.1.113883.3.989.2.1.1.26,"1. 조건부필수값으로 G.k.5a에 항목값이 있는경우 항목 여부 검증
2. 입력값이 50자리 이하인지 검증
3. 입력값이 허용된 UCUM코드인지 검증",G.k.6a,50,AN,"월, 주, 일, 임신분기",,,"1. 조건부필수값으로 G.k.5a에 항목값이 있는경우 항목 여부 검증
2. OID 비교 검증
3. 입력값이 50자리 이하인지 검증
4. 입력값이 허용된 UCUM코드인지 검증
5. 항목값이 있는 경우 G.k.6a 항목은 필수임",,
213,G.k.7.r.1,Indication as Reported by the Primary Source,원보고자가 보고한 적응증,비필수,2.16.840.1.113883.3.989.2.1.1.19,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 250자리 이하인지 검증
3. nullflavor는 ""ASKU"", ""NASK"", ""UNK"" 만 허용함",,250,AN,자유기재,"ASKU, NASK, UNK",,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 250자리 이하인지 검증
3. nullflavor는 ""ASKU"", ""NASK"", ""UNK"" 만 허용함",,
214,G.k.7.r.2a,MedDRA Version for Indication,적응증 MedDRA 버전,조건부필수,,"1. 조건부필수값으로 G.k.7.r.2b 항목값이 있는 경우 항목값 여부 검증
2. 입력값이 4자 이하인지 검증
3. 허용하고 있는 MedDRA 버전인지 검증(최신버전)","G.k.7.r.2b
D.7.1.r.1a, D.8.r.6a, D.8.r.7a, D.9.2.r.1a, D.9.4.r.1a, D.10.7.1.r.1a, D.10.8.r.6a, D.10.8.r.7a, E.i.2.1a, F.r.2.2a, H.3.r.1a",4,AN,MedDRA 버전,,"xml파일보고의 경우 MedDRA 과거 버전도 허용
화면보고일 경우 MedDRA 최신버전만 허용","1. 조건부필수값으로 G.k.7.r.2b 항목값이 있는 경우 항목값 여부 검증
2. 입력값이 4자 이하인지 검증
3. 허용하고 있는 MedDRA 버전인지 검증(최신버전)
4. 입력된 MedDRA 버전이 D.7.1.r.1a, D.8.r.6a, D.8.r.7a, D.9.2.r.1a, D.9.4.r.1a, D.10.7.1.r.1a, D.10.8.r.6a, D.10.8.r.7a, E.i.2.1a, F.r.2.2a, H.3.r.1a 항목과 비교하여 동일한지 검증
5. 항목값이 있는 경우 G.k.7.r.2b 입력여부 검증",,
215,G.k.7.r.2b,Indication (MedDRA code),적응증 MedDRA 코드,조건부필수,"2.16.840.1.113883.3.989.2.1.1.19
2.16.840.1.113883.6.163","1. 조건부필수값으로 G.k.7.r.2a 항목값이 있는 경우 항목값 여부 검증
2. 입력값이 8자 이하인지 검증
3. 입력값이 G.k.7.r.2a 항목에 입력된 버전의 MedDRA 코드인지 검증",G.k.7.r.2a,8,N,MedDRA 코드 8자리,,,"1. 조건부필수값으로 G.k.7.r.2a 항목값이 있는 경우 항목값 여부 검증
2. OID 비교 검증
3. 입력값이 8자 이하인지 검증
4. 입력값이 G.k.7.r.2a 항목에 입력된 버전의 MedDRA 코드인지 검증
5. 항목값이 있는 경우 G.k.7.r.2a 입력여부 검증",,
216,G.k.8,Action(s) Taken with Drug,의약품에 대한 조치 ,비필수,2.16.840.1.113883.3.989.2.1.1.15,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 1자 이하인지 검증
3. 입력값은 ""1"",""2"",""3"",""4"",""0"",""9""만 허용함
4. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증",,1,N,"1=투여 중지
2=투여량 감소
3=투여량 증가
4=투여량 변경하지 않음
0=모름
9=해당사항 없음",,임상시험과 치료목적 사용승인의 경우 필수값,"1. 비필수로 입력값이 있는 경우 검증
2. OID 비교 검증
3.입력값이 1자 이하인지 검증
4. 입력값은 ""1"",""2"",""3"",""4"",""0"",""9""만 허용함
5. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증","CT, CU에서 DRUG ROLE이 1: Suspect일 경우에만 필수가 맞을까요?",
217,G.k.9.i.1,Reaction(s) / Event(s) Assessed,평가 대상,비필수,UUIDs,1. E.i의 약물이상반응/이상사례 ID 입력된 값인지 검증,,-,-,,,E.i의 약물이상반응/이상사례 ID가 평가대상 약물이상반응/이상사례의 ID가 됨,"E.i.2.1b의 MedDRA 코드가 매트릭스의 ID가 됨
1. E.i의 약물이상반응/이상사례 ID 입력된 값인지 검증",,
218,G.k.9.i.2.r.1,Source of Assessment,평가 정보원,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2.입력값이 60자 이하인지 검증",,60,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2.입력값이 60자 이하인지 검증",,
219,G.k.9.i.2.r.2,Method of Assessment,평가 방법,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2.입력값이 60자 이하인지 검증",,60,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2.입력값이 60자 이하인지 검증",,
220,G.k.9.i.2.r.2.KR.1,MFDS Method of Assessment,평가 방법,비필수,2.16.840.1.113883.3.989.5.1.10.1.4,"1. 비필수로 입력값이 있는 경우 검증
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 ""2""만 허용
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 ""2""만 허용
 3) N.2.r.3 항목값이 국내(KR)의 경우 ""1""만 허용
 4) N.2.r.3 항목값이 국외(FR)의 경우 입력 허용하지 않음
2. 입력값이 1자 이하 검증
3. 입력값은 ""1"", ""2"" 만 허용함
4. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증",N.2.r.3,1,N,"1=WHO-UMC
2=KRCT",,임상시험과 치료목적 사용승인의 경우 필수값,"1. 비필수로 입력값이 있는 경우 검증
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 ""2""만 허용
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 ""2""만 허용
 3) N.2.r.3 항목값이 국내(KR)의 경우 ""1""만 허용
 4) N.2.r.3 항목값이 국외(FR)의 경우 ""1""만 허용
2. OID 비교 검증
3. 입력값이 1자 이하 검증
4. 입력값은 ""1"", ""2"" 만 허용함
5. N.2.r.2 항목값이 시판후 국내보고인 경우 입력값은 ""1""만 허용하고G.k.9.i.2.r.3.KR.1 항목은 필수입력
6. N.2.r.2 항목값이 임상보고인 경우 입력값은 ""2""만 허용하고G.k.9.i.2.r.3.KR.2 항목은 필수입력
7. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증",비필수(검증룰)/필수(비고)가 혼재되어 있습니다. 조건에 따라 필수항목이므로 비필수가 아니라 조건부 필수로 변경해야 할 것 같습니다.,
221,G.k.9.i.2.r.3,Result of Assessment,평가 결과,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2.입력값이 60자 이하인지 검증",,60,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2.입력값이 60자 이하인지 검증",,
222,G.k.9.i.2.r.3.KR.1,WHO-UMC Result of Assessment ,WHO-UMC 평가 결과,비필수,2.16.840.1.113883.3.989.5.1.10.1.5,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 1자 이하 검증
3. 입력값은 ""1"",""2"",""3"",""4"",""5"",""6""만 허용함
4. nullFlavor:NA 허용됨",G.k.9.i.2.r.2.KR.1,1,N,"1=확실함(Certain)
2=상당히확실함(Probable)
3=가능함(Possible)
4=가능성적음(Unlikely)
5=평가곤란(Conditional/unclassified)
6=평가불가(Unassessable/unclassifiable)
nullFlavor:NA",NA," * G.k.9.i.2.r에서G.k.9.i.2.r.2.KR.1에  WHO-UMC 평가인 ""1""을 입력한 경우에 한하여 평가 결과 입력시 G.k.9.i.2.r.3에 text를 기재하지 않고 G.k.9.i.2.r.3.KR.1의 값 중에서 선택한다","1. N.2.r.2 항목값이 시판 후 국내보고이고 G.k.9.i.2.r.2.KR.1 입력값이 ""1""인 경우 필수값으로 검증
1. 비필수로 입력값이 있는 경우 검증
2. OID 비교 검증
3. 입력값이 1자 이하 검증
4. 입력값은 ""1"",""2"",""3"",""4"",""5"",""6""만 허용함
5. nullFlavor:NA 허용됨",,
223,G.k.9.i.2.r.3.KR.2,KRCT Result of Assessment ,KRCT 평가 결과,조건부필수,2.16.840.1.113883.3.989.5.1.10.1.6,"1. 조건부필수값으로 N.2.r.3 항목값이 임상보고이고 G.k.9.i.2.r.2.KR.1 입력값이 ""2""인 경우 필수값으로 검증
2. 입력값이 1자 이하 검증
3. 입력값은 ""1"",""2""만 허용함
4. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증",G.k.9.i.2.r.2.KR.1,1,N,"1=관련성 있음
2=관령성 없음",,"임상시험과 치료목적 사용승인의 경우 필수값
 * G.k.9.i.2.r에서G.k.9.i.2.r.2.KR.1에  KRCT 평가인 ""2""을 입력한 경우에 한하여 평가 결과 입력시 G.k.9.i.2.r.3에 text를 기재하지 않고 G.k.9.i.2.r.3.KR.2의 값 중에서 선택한다","1. 조건부필수값으로 N.2.r.3 항목값이 임상보고이고 G.k.9.i.2.r.2.KR.1 입력값이 ""2""인 경우 필수값으로 검증
2. OID 비교 검증
3. 입력값이 1자 이하 검증
4. 입력값은 ""1"",""2""만 허용함
5. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증",,
224,G.k.9.i.3.1a,Time Interval between Beginning of Drug Administration and Start of Reaction / Event (number),투여 후 발현까지의 시간 간격,조건부필수,,"1. 조건부필수값으로  G.k.9.i.3.1b에 항목값이 있는경우 항목 여부 검증
2. 입력값이 5자리 이하인지 검증
3. 입력값은 숫자만 허용함",G.k.9.i.3.1b,5,N,숫자,,,"1. 조건부필수값으로  G.k.9.i.3.1b에 항목값이 있는경우 항목 여부 검증
2. 입력값이 5자리 이하인지 검증
3. 입력값은 숫자만 허용함",,
225,G.k.9.i.3.1b,Time Interval between Beginning of Drug Administration and Start of Reaction / Event (unit),투여 후 발현까지의 시간 간격(단위),조건부필수,2.16.840.1.113883.3.989.2.1.1.26,"1. 조건부필수값으로  G.k.9.i.3.1a에 항목값이 있는경우 항목 여부 검증
2. 입력값이 50자리 이하인지 검증
3. 입력값이 허용된 UCUM코드인지 검증",G.k.9.i.3.1a,50,AN,제한된 UCUM코드,,,"1. 조건부필수값으로  G.k.9.i.3.1a에 항목값이 있는경우 항목 여부 검증
2. OID 비교 검증
3. 입력값이 50자리 이하인지 검증
4. 입력값이 허용된 UCUM코드인지 검증",,
226,G.k.9.i.3.2a,Time Interval between Last Dose of Drug and Start of Reaction / Event (number),최종 투여 후 발현까지의 시간 간격,조건부필수,,"1. 조건부필수값으로  G.k.9.i.3.2b에 항목값이 있는경우 항목 여부 검증
2. 입력값이 5자리 이하인지 검증
3. 입력값은 숫자만 허용함",G.k.9.i.3.2b,5,N,숫자,,,"1. 조건부필수값으로  G.k.9.i.3.2b에 항목값이 있는경우 항목 여부 검증
2. 입력값이 5자리 이하인지 검증
3. 입력값은 숫자만 허용함",,
227,G.k.9.i.3.2b,Time Interval between Last Dose of Drug and Start of Reaction / Event (unit),최종 투여 후 발현까지의 시간 간격(단위),조건부필수,2.16.840.1.113883.3.989.2.1.1.26,"1. 조건부필수값으로 G.k.9.i.3.2a에 항목값이 있는경우 항목 여부 검증
2. 입력값이 50자리 이하인지 검증
3. 입력값이 허용된 UCUM코드인지 검증",G.k.9.i.3.2a,50,AN,제한된 UCUM코드,,,"1. 조건부필수값으로 G.k.9.i.3.2a에 항목값이 있는경우 항목 여부 검증
2. OID 비교 검증
3. 입력값이 50자리 이하인지 검증
4. 입력값이 허용된 UCUM코드인지 검증",,
228,G.k.9.i.4,Did Reaction Recur on Re-administration?,재투여 및 재발현 여부,비필수,"2.16.840.1.113883.3.989.2.1.1.19
2.16.840.1.113883.3.989.2.1.1.16","1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 1자 이하 검증
3. 입력값은 ""1"",""2"",""3"",""4""만 허용함
4. 입력값은 숫자만 허용함",,1,N,"1=예-예(재투여하였고 이상반응이 다시 나타남)
2=예-아니오(재투여했지만 이상반응 나타나지 않음)
3=예-알 수 없음(재투여했지만, 결과는 알 수 없음)
4=아니오-해당사항 없음(재투여하지 않았고, 재발은 해당사항 없음",,,"1. 비필수로 입력값이 있는 경우 검증
2. OID 비교 검증
3. 입력값이 1자 이하 검증
4. 입력값은 ""1"",""2"",""3"",""4""만 허용함
5. 입력값은 숫자만 허용함",,
229,G.k.10.r,Additional Information on Drug (coded) (repeat as necessary),의약품 추가 정보,비필수,"2.16.840.1.113883.3.989.2.1.1.19
2.16.840.1.113883.3.989.2.1.1.17","1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 2자리 이하 검증
3. 입력값은 ""1""~""11""만 허용함
4. 입력값은 숫자만 허용함",,2,N,"1=위조의약품
2=과량투여
3=아버지가 사용한 의약품
4=유효기간이 지난 의약품 사용
5=품질시험 결과 적합한 배치와 로트
6=품질시험 결과 부적합한 배치와 로트
7=투약오류
8=오용
9=남용
10=직업성 노출
11=허가 외 사용",,,"1. 비필수로 입력값이 있는 경우 검증
2. OID 비교 검증
3. 입력값이 2자리 이하 검증
4. 입력값은 ""1""~""11""만 허용함
5. 입력값은 숫자만 허용함",,
230,G.k.11,Additional Information on Drug (free text),의약품 추가 정보 설명,비필수,2.16.840.1.113883.3.989.2.1.1.19,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 2000자 이하 검증",,2000,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 2000자 이하 검증",,
231,H.1,"Case Narrative Including Clinical Course, Therapeutic Measures, Outcome and Additional Relevant Information",사례 설명,필수,2.16.840.1.113883.5.4,"1. 필수값으로 항목값 여부 검증
2. 입력값이 100000자 이하인지 검증",,100000,AN,자유기재,,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 100000자 이하인지 검증",H.4에서 시판 후 국내보고 및 임상보고는 국문으로만 입력 허용 영문병용 표기 가능으로 기재되어 있습니다. H.1 사례 설명에 대해서도 동일한 규칙이 적용되는지 문의 드립니다.,
232,H.2,Reporter's Comments,원보고자의 의견,비필수,2.16.840.1.113883.3.989.2.1.1.19,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 20000자 이하 검증",,20000,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 20000자 이하 검증",,
233,H.3.r.1a,MedDRA Version for Sender's Diagnosis / Syndrome and / or Reclassification of Reaction / Event,진단명 MedDRA 버전,조건부필수,,"1. 조건부필수값으로 H.3.r.1b 항목값이 있는 경우 항목값 여부 검증
2. 입력값이 4자 이하인지 검증
3. 허용하고 있는 MedDRA 버전인지 검증(최신버전)",H.3.r.1b,4,AN,MedDRA 버전,,"xml파일보고의 경우 MedDRA 과거 버전도 허용
화면보고일 경우 MedDRA 최신버전만 허용","1. 조건부필수값으로 H.3.r.1b 항목값이 있는 경우 항목값 여부 검증
2. 입력값이 4자 이하인지 검증
3. 허용하고 있는 MedDRA 버전인지 검증(최신버전)
4. 입력된 MedDRA 버전이 D.7.1.r.1a, D.8.r.6a, D.8.r.7a, D.9.2.r.1a, D.9.4.r.1a, D.10.7.1.r.1a, D.10.8.r.6a, D.10.8.r.7a, E.i.2.1a, F.r.2.2a, G.k.7.r.2a, H.3.r.1a 항목과 비교하여 동일한지 검증
5. H.3.r.1b 입력여부 검증","전체 항목검증 룰 내에 MedDRA 버전 항목에서, 화면 보고일 경우 MedDRA 최신 버전만 허용으로 되어 있습니다. 화면보고에 있어서 MedDRA 버전은 보고자가 직접 입력할 필요 없이 고정된 값으로 존재하는 것인지 문의 드립니다.",
234,H.3.r.1b,Sender's Diagnosis / Syndrome and / or Reclassification of Reaction / Event (MedDRA code),진단명 MedDRA 코드,조건부필수,"2.16.840.1.113883.3.989.2.1.1.19
2.16.840.1.113883.6.163","1. 조건부필수값으로 H.3.r.1a 항목값이 있는 경우 항목값 여부 검증
2. 입력값이 8자 이하인지 검증
3. 입력값은 숫자만 허용함
4. 입력값이 H.3.r.1a 항목에 입력된 버전의 MedDRA 코드인지 검증",H.3.r.1a,8,N,MedDRA 코드 8자리,,,"1. 조건부필수값으로 H.3.r.1a 항목값이 있는 경우 항목값 여부 검증
2. OID 비교 검증
3. 입력값이 8자 이하인지 검증
4. 입력값은 숫자만 허용함
5. 입력값이 H.3.r.1a 항목에 입력된 버전의 MedDRA 코드인지 검증
6. H.3.r.1a 입력여부 검증",,
235,H.4,Sender's Comments,보고자의 의견,비필수,2.16.840.1.113883.3.989.2.1.1.19,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 20000자 이하 검증
3. 시판후 국내 보고 및 임상보고는 국문으로만 입력 허용영문 병용 표기 가능(시판후 국외 보고는 영문허용)",,20000,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 20000자 이하 검증
3. 시판후 국내 보고 및 임상보고는 국문으로만 입력 허용영문 병용 표기 가능(시판후 국외 보고는 영문허용)",,
236,H.5.r.1a,Case Summary and Reporter’s Comments Text,원보고자의 의견,비필수,2.16.840.1.113883.3.989.2.1.1.19,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 100000자 이하 검증",H.5.r.1b,100000,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 100000자 이하 검증",,
237,H.5.r.1b,Case Summary and Reporter’s Comments Language,원보고자의 현지언어,조건부필수,1.0.639.2,"1. 조건부필수값으로 H.5.r.1a 항목에 값이 있는 경우 항목 검증
2. 입력값이 3자리 이하인지 검증
3. 입력값은 ""ISO 639-2 RA, alpha-3""에 포함된 코드만 허용함",H.5.r.1a,3,A,"ISO 639-2/RA, alpha-3",,,"1. 조건부필수값으로 H.5.r.1a 항목에 값이 있는 경우 항목 검증
2. OID 비교 검증
3. 입력값이 3자리 이하인지 검증
4. 입력값은 ""ISO 639-2 RA, alpha-3""에 포함된 코드만 허용함",,
238,-,공통,MedDRA 버전,,,1. 보고 건별 동일한 MedDRA 버전 사용 검증,"D.7.1.r.1a
D.8.r.6a, 
D.8.r.7a, 
D.9.2.r.1a, 
D.9.4.r.1a, 
D.10.7.1.r.1a, 
D.10.8.r.6a, 
D.10.8.r.7a, 
E.i.2.1a, 
F.r.2.2a, 
G.k.7.r.2a, 
H.3.r.1a",,,,,,1. 보고 건별 동일한 MedDRA 버전 사용 검증,,
